activation.title, "Activation"
activation.submit, "Activate"
activation.api.title, "Cosmic Cart API Credentials"
activation.version.number, "Version"
activation.api.client, "Client ID"
activation.api.secret, "Client Secret"
activation.api.username, "Username"
activation.api.password, "Password"
activation.api.store, "Store"
activation.success, "The following stores have been successfully connected to Cosmic Cart:"
activation.complete, "Activation complete. You need not use this form again unless you are experiencing authentication issues with Cosmic Cart."
Bad credentials, "Activation was not successful. Please check your credentials and try again."
debug.prefix, "[DEBUG MODE] "
