" reviews"," reviews"
"# Items","# Items"
"-- Please Select --","-- Please Select --"
"0 or empty value will display all brands","0 or empty value will display all brands"
"0 or empty value will display all reviews","0 or empty value will display all reviews"
"2YTD","2YTD"
" For example: http://www.yourstore.com/<u><b>brand</b></u>, http://www.yourstore.com/<u><b>brand</b></u>/apple"," For example: http://www.yourstore.com/<u><b>brand</b></u>, http://www.yourstore.com/<u><b>brand</b></u>/apple"
"Name of Manufacturer attribute in your store. Default is "manufacturer".","Name of Manufacturer attribute in your store. Default is "manufacturer"."
"Number of brands shown when filter by top sell/ most subscribers/ new update/ most products.","Number of brands shown when filter by top sell/ most subscribers/ new update/ most products."
"Action","Action"
"Add Brand","Add Brand"
"Add Item","Add Item"
"All","All"
"Allow Everything","Allow Everything"
"Apply to Brand listed page ","Apply to Brand listed page "
"Apply to pages having sidebar","Apply to pages having sidebar"
"Are you sure?","Are you sure?"
"Attrib. Set Name","Attrib. Set Name"
"Attribute Code","Attribute Code"
"Be ","Be "
"Best seller","Best seller"
"Bill to Name","Bill to Name"
"Brand","Brand"
"Brand Category Index","Brand Category Index"
"Brand Information","Brand Information"
"Brand Listing","Brand Listing"
"Brand Manager","Brand Manager"
"Brand Search","Brand Search"
"Brand Template","Brand Template"
"Brand Url Index","Brand Url Index"
"Brand by Category","Brand by Category"
"Brand categories","Brand categories"
"Brand does not exist","Brand does not exist"
"Brand information","Brand information"
"Brand not found!","Brand not found!"
"Brand was successfully deleted","Brand was successfully deleted"
"Brand was successfully saved","Brand was successfully saved"
"Brands","Brands"
"Brands Manager","Brands Manager"
"CSV","CSV"
"Change Is featured","Change Is featured"
"Change status","Change status"
"Choose date to report","Choose date to report"
"Confirmation request has been sent","Confirmation request has been sent"
"Confirmation request has been sent.","Confirmation request has been sent."
"Current Image","Current Image"
"Current Month","Current Month"
"Current Thumbnail Image","Current Thumbnail Image"
"Custom","Custom"
"Customer","Customer"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Delete","Delete"
"Delete Brand","Delete Brand"
"Description","Description"
"Disabled","Disabled"
"Display Brand Categories on Brand detailed page","Display Brand Categories on Brand detailed page"
"Display Brand sidebar","Display Brand sidebar"
"Display Brand with Image","Display Brand with Image"
"Display Featured Brands","Display Featured Brands"
"Display Search box on Brand detailed page","Display Search box on Brand detailed page"
"Display Search box on Brand listed page","Display Search box on Brand listed page"
"Display Shopping options box on Brand detailed page","Display Shopping options box on Brand detailed page"
"Display Sign up box on Brand detailed page","Display Sign up box on Brand detailed page"
"Display “Brand by Category” on Brand listed page","Display “Brand by Category” on Brand listed page"
"Edit","Edit"
"Edit Brand ","Edit Brand "
"Email","Email"
"Enable Shop by brands","Enable Shop by brands"
"Enabled","Enabled"
"Enter Keyword","Enter Keyword"
"Excel XML","Excel XML"
"Featured Brands","Featured Brands"
"Featured Display Mode","Featured Display Mode"
"From","From"
"Frontend  router","Frontend  router"
"General Configuration","General Configuration"
"General Information","General Information"
"Go to Home Page","Go to Home Page"
"Guest","Guest"
"Home","Home"
"ID","ID"
"Image","Image"
"Is Featured","Is Featured"
"Item Id","Item Id"
"Item Manager","Item Manager"
"Item News","Item News"
"Last 24 Hours","Last 24 Hours"
"Last 7 Days","Last 7 Days"
"Lifetime sales","Lifetime sales"
"Magestore Extension","Magestore Extension"
"Manage Brands","Manage Brands"
"Manage Items","Manage Items"
"Manage Subscribers","Manage Subscribers"
"Maximum Brands displayed on Brand sidebar","Maximum Brands displayed on Brand sidebar"
"Maximum Reviews displayed","Maximum Reviews displayed"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Most products","Most products"
"Most subscribers","Most subscribers"
"Name","Name"
"New update","New update"
"No","No"
"No Data Found","No Data Found"
"Normal","Normal"
"Not Activated","Not Activated"
"Number Items","Number Items"
"Number of brands displayed when filter","Number of brands displayed when filter"
"Number of items sold","Number of items sold"
"Number of loyal members","Number of loyal members"
"Number of products per row on Brand detailed page","Number of products per row on Brand detailed page"
"Only display Brands having products","Only display Brands having products"
"Optional Configuration","Optional Configuration"
"Page Title","Page Title"
"Please enter a valid email address","Please enter a valid email address"
"Please enter a valid email address.","Please enter a valid email address."
"Please type your keyword","Please type your keyword"
"Please wait...","Please wait..."
"Position","Position"
"Price","Price"
"Product Name","Product Name"
"Products","Products"
"Purchased On","Purchased On"
"Qty","Qty"
"Report Brand","Report Brand"
"Report Brand Sales","Report Brand Sales"
"Report Brands","Report Brands"
"SKU","SKU"
"STORE VIEW","STORE VIEW"
"Sales chart","Sales chart"
"Save And Continue Edit","Save And Continue Edit"
"Save Brand","Save Brand"
"Search","Search"
"Search brand by","Search brand by"
"Select Date","Select Date"
"Select Range","Select Range"
"Settings","Settings"
"Ship to Name","Ship to Name"
"Shop by Brand","Shop by Brand"
"Shopbybrand","Shopbybrand"
"Short Description","Short Description"
"Sign up for new products","Sign up for new products"
"Slide","Slide"
"Sold items","Sold items"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Submit","Submit"
"Subscribed","Subscribed"
"Subscriber","Subscriber"
"Subscriber Manage","Subscriber Manage"
"Subscribers","Subscribers"
"Template Configuration","Template Configuration"
"Thank you for your subscription","Thank you for your subscription"
"Thank you for your subscription.","Thank you for your subscription."
"There is no review!","There is no review!"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Thumbnail Image","Thumbnail Image"
"To","To"
"Total sales","Total sales"
"Type","Type"
"Type your email adress","Type your email adress"
"Unable to find brand to save","Unable to find brand to save"
"Unconfirmed","Unconfirmed"
"Unsubscribe","Unsubscribe"
"Unsubscribed","Unsubscribed"
"Url Key","Url Key"
"Use Default","Use Default"
"View all","View all"
"View sales chart","View sales chart"
"Visibility","Visibility"
"Website","Website"
"XML","XML"
"YTD","YTD"
"Yes","Yes"
"You are using a %s version of %s extension. It will be expired on %s.","You are using a %s version of %s extension. It will be expired on %s."
"development","development"
"trial","trial"
"view chart","view chart"
